"id","customer_id","company","add_1","add_2","contact","country","county","dnprices","email","email2","fax","inv_opt","memo","phone_1","phone_2","post_code","town","vat_num","website","zid"
69,"FEE2","Feed Cafe","7 The Arches The Hard","","Angela Deanie","","Hampshire",t,"","","",0,"","02392 820486","ANGELA 07773067546","PO1 3EA","Portsmouth","","","1099166000000644129"
70,"FER","Fernbank Hotel","Highfield Road","","","","Isle of Wight",t,"fernbank2010@btconnect.com","","",0,"Julian Chapman and Joanne","01983 862790","","PO37 6PP","Shanklin","","","1099166000000644141"
71,"FIE","Fields Nursery","Town End","","","","Isle of Wight              01983 730964",t,"","","",0,"","01983 730964","","PO38 2EA","Niton","","","1099166000000644153"
72,"FIG2","Sam Shaw t/as Fighting Cocks","Hale Common","","DAVE  HEAD CHEF 07872627831","","Isle of Wight",t,"s.jread@btinternet.com","sam@thefightingcocksiow.co.uk","",0,"07515877770 Donna 863435 KITCHEN","01983 865254","07775573041 Sam","PO30 3AR","Arreton","","","1099166000000170149"
73,"FISH","The Fishbourne (IOW) Ltd","Fishbourne Lane","","","","Isle of Wight",t,"centraloffice@innsofdistinction.co.uk","","",0,"","01983 882823","01983872572","PO33 4EU","Fishbourne","","","1099166000000644165"
75,"FLE2","Fleming Arms","Binstead Hill","","Craig","","Isle of Wight          01983 243555",t,"craig-bruce10@hotmail.co.uk","","",0,"","01983 243555","07872627831 - CRAIG","PO33 3RD","Ryde","","","1099166000000147453"
76,"FOR","The Old Fort","The Esplanade","","JUSTIN EVELEGH","","Isle of Wight",t,"JE@SE-VIEW.COM","","",0,"","01983 612363","","PO34 5HB","Seaview","","",""
77,"FRE","French Franks Food Co. Ltd","Unit C the Apex Monks Brook, St Cross Business Park","","Mark and Jenny Horton","","Isle of Wight",t,"bairdjenny@hotmail.com","","01983 301256",0,"07531913274 MARK","01983 821685","01983 716066 Ryde","PO30 5XW","Newport","","","1099166000000170169"
78,"FUM","Fumo 33","32-33 Union Street","","","","Isle of Wight",t,"fumo33iow@gmail.com","","",0,"","01983 611118","01983 566668","PO33 2LE","Ryde","","",""
79,"GAS","THE GASLIGHT CAFE","SANDOWN TRAIN STATION","","ALISON SMITH","","ISLE OF WIGHT",t,"thegaslightcafe@gmail.com","","",0,"","07595670101","","","SANDOWN","","","1099166000000148283"
80,"GEO3","The George Inn","92 St James Street","","Bob Davies","","Isle of Wight          01983 522557",t,"georgeinniw@yahoo.co.uk","","",0,"Hayley","01983 522557","","PO30 1LB","Newport","","","1099166000000170179"
81,"GEO4","Mark Sowerby t/as St Georges House Hotel","St Georges Road","","","","Isle of Wight",t,"","","",0,"","01983 863691","","PO37 6BA","Shanklin","","","1099166000000644189"
82,"GRA2","The Grange","9 Eastcliff  Road","","","","Isle of Wight         01983 867644",t,"","","",0,"","01983 867644","","","Shanklin","","","1099166000000170189"
83,"GRA3","Grange Bank House","3 Grange Road","","Peter / Warren","","Isle of Wight         01983 862337",t,"grangebankhouse@gmail.com","","",0,"","01983 862337","07787150873","PO37 6NN","Shanklin","","","1099166000001200089"
84,"GRAC","Milverdene Hotel Trading Ltd/Gracellie","25-27 Hope Road","","","","Isle of Wight            01983 863243",t,"jayesh@milverdene.com","","",0,"Jayesh 02082013377","01983 863243","07956686686","PO37 6ED","Shanklin","","","1099166000000644201"
85,"GRI3","The Griffin","High Street","","","","Isle of Wight",t,"","","",0,"","01983 840039","07970140952 STEVE","PO38 3JD","Godshill","","","1099166000000170729"
86,"HAM2","HAMBROUGH HOTEL","HAMBROUGH ROAD","HAMBROUGH HOTEL PIER STREET","HAMBROUGH GROUP","United Kingdom","Isle of Wight           01983856333",t,"info@thehambrough.com","","1983856333",0,"BARBRA ACCOUNTS","01983856333","+441983856333","PO381SQ","VENTNOR","","","1099166000000170739"
87,"HAP","Happy Chef","Monkton Street","","SIMON LYNESS","","Isle of Wight        01983 568820",t,"","","",0,"","01983 568820","","PO33 1JN","RYDE","","","1099166000000147533"
89,"HAV","Havelock (Shanklin) Ltd","no2 Queens Road","","Paul & Vicky Cullen ","","Isle of Wight         01983 862747",t,"","","",0,"","01983 862747","","PO37 6AN","Shanklin","","","1099166000000170209"
90,"HEL","Hellyer Catering ","15 Staplers Court, School Lane","","Phil Hellyer","","Isle of Wight",t,"philh59@live.co.uk","","",0,"","07757228723","","","Newport","","","1099166000008793239"
91,"HFH","HF Holidays/ Freshwater Bay House","Gate Lane","","","","Isle of Wight           01983 753854",t,"freshwaterbay@hfholidays.co.uk","jonnygroom@hotmail.com","",0,"Tony - Manager","01983 753854","","PO40 9RB","Freshwater","","","1099166000000644213"
92,"HID","The Hideaway","Cliff Path, St Boniface Cliff Road","","Chris Prior","","Isle of Wight",t,"cprior30@hotmail.co.uk","bramble.pig@gmail.com","",0,"","01983 864145","","01983 864145","Shanklin","","","1099166000009123003"
93,"HIG","Highdown Inn ","Moons Hill,","","Susan","","Isle of Wight",t,"susan@highdowninn.com","","",0,"","01983 752450","","PO39 0HY","Totland Bay","","","1099166000007903839"
94,"HOL2","The Hollies Tea Gardens","High Street","","","","Isle of Wight",t,"","","",0,"","","","PO38 3HZ","Godshill","","","1099166000000644271"
95,"HOR2","Horse and Groom","Main Road","","Steve and Beverley Gilbert","","Isle of  Wight",t,"","","",0,"07970140952 Steve","01983 760672","","PO30 4NW","Ningwood","","","1099166000000170229"
96,"HUN2","HUNGER STOP","34 HIGH STREET","","LUKE HAWKINS","","ISLE  OF WIGHT",t,"","","",0,"","07599344165","862968","PO37 6JY","SHANKLIN","","","1099166000000147613"
97,"HUN3","HUNGRY BEAR","EDDINGTON ROAD","St Helens","","","ISLE OF WIGHT",t,"","","",0,"","01983 718871","07568565995","PO33 1XS","RYDE","","",""
98,"HUT","Adams Leisure IOW Ltd/ The Hut","Colwell Chine Road","Colwell Bay","BEN HEAD CHEF","MATT 07889267484","Isle of Wight        01983 898637",t,"debbir@harrisonblack.co.uk","matt@aka-restaurants.co.uk","07770920525 SAMMY",0,"chris 07399371133 george 07799343600","01983 898637","02070529620 Accounts","PO40 9NP","Freshwater","","","1099166000000170239"
99,"ISL","Island  Sailing Club","70 High Street","","","","Isle of  Wight         01983 291112",t,"laura@islandsc.org.uk","","",0,"John is Head Chef 07582542938","01983 291112","01983 249432","PO31 7RE","Cowes","","","1099166000000644281"
100,"ISL2","Island  Speedway IOW Ltd","Ashey Road","","","","Isle of Wight",t,"","","",0,"","01983 811180","","PO33 4BH","Ryde","","","1099166000000644293"
101,"ISL3","Isle of Wight Steam Railway","Havenstreet","","","","",t,"","","",0,"","","","PO33 4DS","Ryde","","","1099166000003784081"
102,"JAR","JARVIS BUTCHERS","108 High Street","","","","Isle of Wight         01983 562382",t,"dwjarvis2014@hotmail.com","","",0,"","01983 562382","","PO33 2SZ","Ryde","","","1099166000000644305"
103,"JOE","Joe's Bar","2 Institute Hill, Niton","","Roy","","Isle Of Wight          01983 730280",t,"rbiow@msn.com","Lloyd / Head Chef","",0,"07826377081","","01983 730280","PO38 2AZ","Ventnor","","","1099166000002776568"
104,"KIN","Character Inns IOW Ltd / Kingshead","Quay St,","","","","Isle of Wight",t,"jolie@kingsyarmouth.co.uk","","",0,"","01983760177","","PO41 0PB","Yarmouth","","","1099166000005013214"
105,"KIT","THE KITCHEN AT THE LONDON HOUSE","40 High Street","","SALLY","","PO38 1RZ           01983 638856",t,"","","",0,"","01983 638856","","","VENTNOR","","","1099166000000148343"
106,"LAK2","Lakeside Park Hotel","High Street","","","","Isle of Wight      01983 885529",t,"accounts@lakesideparkhotel.com gill is acc mana","stuartrivron@gmail.com","",0,"NIGEL IS HEAD CHEF 07786980027","01983 885529 KITCHEN","01983 882266","PO33 4LJ","Wootton Bridge","","","1099166000001224039"
107,"LAK3","Aria resorts","The Lakes","Rookley Park main rd","Ian Ford","","",t,"","","",0,"07575660767","","","po38 3lu","Rookley","","","1099166000003396103"
108,"LON","Royal London Yacht  Club","The Parade","","","","Isle of Wight       01983 293153",t,"secretary@rlyc.org.uk","KATE DOES THE PAYMENTS 299727","07913 861928 TOMAS",0,"Steve Bates - chef 245165 HOME/MOB 07809549019","01983 293153","01983 299727 acc","PO31 7QS","Cowes","","","1099166000000644317"
109,"LONG","Larks Pub Company Ltd t/a Long Island","24 Holyrood St","","","","",t,"mark@chequersinn-iow.co.uk","steve@chequersinn-iow.co.uk","",0,"DAN CHEF 07769180930","01983 716281","","PO30 5AZ","Newport","","","1099166000009094289"
110,"LOO","LOOKOUT CAFE","12A THE ESPLANADE","","DAVE","","ISLE OF WIGHT       863286",t,"","","",0,"","863286","","","SHANKLIN","","","1099166000000170839"
111,"LOV","Lovecoffee","115 Pyle St","","","","Isle of Wight",t,"keelinggary1@gmail.com","","",0,"","01983 532082","","PO30 1XA","Newport","","","1099166000007266471"
112,"MAR","Market IOW","6 East Yar Trading Est","East Yar Rd","","","Isle of Wight",t,"characterdistrubtion@gmail.com","","",0,"","01983400696","","PO36 9AX","Sandown","","","1099166000005013382"
113,"MAX","MAXINES","42 WEEKS ROAD","57 HIGH STREET","MAXINE","United Kingdom","IOW",t,"","","",0,"","07895631666","","PO332TL","RYDE","","",""
114,"MED2","Medehamstede Hotel","Queens Road","","Tarick Khuja","","Isle of Wight       01983 862101",t,"medehamstede@btconnect.com","","",0,"","01983 862101","01983 866898","PO37 6AR","Shanklin","","","1099166000000170269"
115,"MED3","Medina Valley Centre","Dodnor Lane","","","","Isle of Wight       01983 522195",t,"accounts@medinavalleycentre.org.uk","","01983 825962",0,"John Crawford (accounts) Carmen chef","01983 522195","07917604888","PO30 5TE","Newport","","","1099166000000644353"
116,"MER","The Mermaid Bar Catering","The Wishing Well, Pondwell Hill","","Ant ","","Isle of Wight",t,"mermaidbar@isleofwightdistillery.com","","",0,"","07875747203","01983 613653","PO33 1PX","Ryde","","",""
117,"MIL3","MILLBAY VENTNOR","The Esplanade","","PHIL AND TRACEY TREADWELL","United Kingdom","Isle of Wight        852394",t,"millbay123@hotmail.com","","",0,"","852394","07717747117","P038 1JR","VENTNOR","","","1099166000000170279"
118,"MRT","Mr T's Pizza Shed","46 Atherley Road","","Don/Geni Morgan","","Isle of Wight",t,"mdecky92@hotmail.com","mdecky92@hotmail.com","",0,"","01983 863361","","PO37 7AU","Shanklin","","","1099166000000170289"
119,"MUR2","PAUL MURPHYS BUTCHERS","17 REGENT STREET","","PAUL","","ISLE OF WIGHT",t,"","","",0,"","07841864337","864245","","SHANKLIN","","","1099166000000147883"
120,"NEE","The Needles Pleasure Park","Alum Bay","","","","Isle of Wight",t,"craigh@heritagegb.co.uk","info@theneedles.co.uk","",0,"TONY ZIED - kitchen","01983 752401","08717200077","","Freshwater","","","1099166000000644377"
121,"NEW4","The New Inn","Main Road","","","","Isle of Wight",t,"martin.bullock@live.co.uk","martin@innsofdistinction.co.uk","",0,"","01983531314","","PO30 4NS","Shalfleet","","","1099166000004475271"
122,"NOR","North House","NO 30--32 SUN HILL","","Liam","","Isle of Wight",t,"","","",0,"","01983 209453","","PO31 7TP","Cowes","","",""
123,"OCE2","Holdsworth Hotels Ltd","Ocean View Hotel","Park Road","","","Isle of Wight",t,"mmitchell@oandcmanagement.com","01422 345525 Mary Accounts","",0,"SILVIU IS MANAGER AND ALAN IS HEAD CHEF","01983 863262","","PO37 6BB","Shanklin","","","1099166000000170299"
124,"OLI","Olivio (Newport) Ltd","32-33 Union Street","","","","Isle of Wight",t,"olivo@live.co.uk","rastivojtovic@gmail.com","",0,"Julie - accounts Rasta 07804742222","01983 530001","02088925562","PO33 2LE","Ryde","","","1099166000000644389"
125,"OLI2","Olivio (Ryde) Ltd","32-33 Union Street","","","","Isle of Wight",t,"olivo@live.co.uk","julieburns15@hotmail.com","",0,"Julie - accounts Rasta 07804742222","01983 611118","01983 566668","PO33 2LE","RYDE","","","1099166000000644401"
126,"OSB","Digby Trout Restaurants","Osborne House","","","","Isle of Wight",t,"Sarah.Ellery@elior.co.uk","osborne.house@elior.com","",0,"200022 9 170 - kitchen 9 167 - office","01983 298052","07986104992 GORDON","","East Cowes","","","1099166000000643979"
127,"PEN","Pencil Cottage","22 Church Road","","","","Isle of Wight",t,"","","",0,"","07766917190","","PO37 6NU","Shanklin","","","1099166000000644413"
128,"PGL","PGL Travel Ltd","Little Canada","New Road","","","Isle of Wight",t,"pgluk@compleat-einvoicing.com","pglap@pgl.co.uk","IAN 07843667694",0,"Brindusa - 07500843328 IAN ROOME CATERING MANAGER","01983 885416 KITCHEN","01983 885437","PO33 4JP","Wootton","","","1099166000000644425"
129,"PIT","Pauls Pitstop","Somerton Industrial Estate",,,"United Kingdom","Isle of Wight",t,,,,0,"","07714797275",,,"Cowes",,,"1099166000000644437"
130,"POIN","The Pointer Inn","High Street, Newchurch","","Dale & Shelley Milton","","Isle of Wight",t,"thepointerinn@hotmail.com","","",0,"","01983 865202","","PO36 0NN","Sandown","","","1099166000009174181"
131,"POR","Mr Mark A Hammond t/as Portland Inn","2 Worsley Road","","","","Isle of Wight",t,"portlandinn1@gmail.com","","",0,"James Wooler","01983 243300","","PO31 8JN","Cowes","","","1099166000000644449"
132,"PREG","PREGO","28 Castle Street","","","","Isle of Wight",t,"pregoiow@gmail.com","","",0,"Irene and Magda/Eric","01983 293737","07547014912","PO32 6RD","East Cowes","","","1099166000000644461"
133,"PRO","PROPELLER INN (IOW LTD)","SANDOWN ROAD",,"CHRIS AND ANNIE PARSONS","United Kingdom","ISLE OF WIGHT",t,"payneannie@hotmail.com",,,0,"","873611",,"PO35 5PW","Bembridge",,,"1099166000000147973"
134,"QUA","Quay Arts","15 Sea St,","Newport Harbour","","","Isle of Wight",t,"","","",0,"","01983 822490","","PO30 5BD","Newport","","",""
135,"RED","Red Duster Restaurant","37 High Street","","Neil Muncaster","","Isle of Wight",t,"info@theredduster.com","","",0,"","01983 290311","","PO31 7RS","Cowes","","","1099166000000170329"
137,"RIC","RICHMOND BED AND BREAKFAST","23 PALMERSTON ROAD","","","","",t,"","","",0,"","862874","","","SHANKLIN","","","1099166000000644473"
138,"RIO","Rio's Burgers","9 Regent Street","","Mark Lynas","","Isle of Wight",t,"riolynas@gmail.com","","mob 07741209894",0,"","01983 868986","01983 853553 - Mark","PO37 9AF","Shanklin","","","1099166000009031501"
139,"ROB","Robin Hill Country Park","Downend Rd, Downend","","","","Isle of Wight",t,"","john.woodford@vectisventures.co.uk","",0,"","","","PO30 2NU","Newport","","","1099166000004016815"
141,"RORC","ROYAL OCEAN YACHT CLUB","THE PARADE",,,"United Kingdom",,t,,,,0,"MARK IS THE CHEF (07902548835)","01983 293581",,,"Cowes",,,"1099166000001200139"
142,"ROS","Rosie Lee","Regent Street","","Cliff and Collette Cluitt","","Isle of Wight",t,"","","",0,"","01983 862704","01983 611550","","Shanklin","","","1099166000000170339"
143,"ROY","Royal Pier Hotel","10 Pier Street","","","","Isle of Wight",t,"info@royalpier.com","info@royalpier.com","",0,"Scott THE NEW MANAGER IS CALLED SARAH JARMIN","405567","","PO36 8JA","Sandown","","","1099166000000644485"
144,"ROY2","THE ROYAL HOTEL","BELGRAVE ROAD","","BEN  HEAD CHEF","","ISLE OF WIGHT",t,"accounts@royalhoteliow.co.uk","","",0,"","852186","852621 KITCHEN","PO38 1JJ","VENTNOR","","","1099166000000148373"
