"id","product","short_description","description","print_order","price","per","unit","vat_rate","shelf_life_days","product_zid","category_id"
41,"BE/FO/BL/IW","BEEF FORERIB B/LESS IOW","",99,12.60,1,"KG",0,0,,2
42,"BE/FO/CA","BEEF FORERIB CARVERY STYLE ","",99,10.90,1,"KG",0,0,,2
43,"BE/FO/CA/IW","BEEF FORERIB CARVERY IOW","",99,11.90,1,"KG",0,0,,2
44,"BE/HE","BEEF HEAL MUSCLE","",99,0.00,0,"IN",0,0,,2
45,"BE/HI","BEEF HINDQUARTER","",99,0.00,0,"IN",0,0,,2
46,"BE/KN","BEEF KNUCKLES BONELESS","",99,5.90,1,"KG",0,0,,2
47,"BE/LE","LEG OF BEEF","",99,5.10,1,"KG",0,0,,2
48,"BE/LO","LOIN OF BEEF","",99,13.90,1,"KG",0,0,,2
50,"BE/SH","SHIN OF BEEF","",99,5.40,1,"KG",0,0,,2
51,"BE/SH/BI","BEEF SHIN BONE IN","",99,4.10,1,"KG",0,0,,2
52,"BE/SI","SIDE OF STEER BEEF HAMPSHIRE","",99,4.70,0,"KG",0,0,,2
53,"BE/SI/HA","BEEF SIDES HAMPSHIRE","BEEF SIDES HAMPSHIRE",99,4.70,1,"KG",0,0,,2
54,"BE/SI/IW","BEEF SIDES IOW","ROWLANDS FARM HAVENSTREET",99,4.70,1,"KG",0,21,,2
56,"BE/SK","BEEF SKIRT","",99,7.40,1,"KG",0,0,,2
57,"BE/SK/IW","BEEF SKIRT ISLE OF WIGHT","",99,7.40,1,"KG",0,0,,2
58,"BE/TH","BEEF THICKS BONELESS","",99,5.90,1,"KG",0,0,,2
59,"BE/TR","BEEF TRIM","",99,3.45,1,"KG",0,0,,2
60,"BE/TR/IW","BEEF TRIM IOW","",99,3.90,1,"KG",0,0,,2
61,"BELLY","BEEF BELLYBUSTERS","",99,6.50,1,"KG",0,0,,2
62,"BELLY/IW","BELLYBUSTERS ISLE OF WIGHT","",99,5.95,1,"KG",0,0,,2
64,"BLA","BLACK PUDDING STICKS EACH","",99,3.85,1,"EA",0,0,,13
65,"BLA/RI","BLACK PUDDING RINGS","",99,1.95,1,"EA",0,0,,13
67,"BR","BRISKET OF BEEF ","",99,6.50,1,"KG",0,0,,2
68,"BR/IW","BRISKET OF BEEF IOW REARED","",99,6.50,1,"KG",0,0,,2
70,"BR/ST","BRAISING STEAK BEST","",99,6.90,1,"KG",0,0,,2
71,"BR/ST/EA","BRAISING STEAK EACH","",99,1.06,1,"EA",0,0,,2
72,"BR/ST/HA","BRAISING STEAK WHOLE HAMPSHIRE","BRAISING STEAK WHOLE HAMPSHIRE",99,6.90,1,"KG",0,0,,2
73,"BR/ST/IW","BRAISING STEAK IOW REARED","",99,6.90,1,"KG",0,0,,2
75,"BR/ST/PA","BRAISING STEAK PAD","",99,7.00,1,"KG",0,0,,2
76,"BR/ST/WH/HA","BRAISING STEAK WHOLE  HAMPSHIRE","BRAISING STEAK WHOLE  HAMPSHIRE",99,0.00,1,"KG",0,0,,2
77,"BREAD","BREAD RUSK","",99,0.00,0,"IN",0,0,,10
78,"BU/100","BEEFBURGER 100","",99,24.00,1,"EA",0,0,,3
79,"BU/2","IW PRODUCED 2oz BEEFBURGER 90percent X 48","",99,11.00,1,"EA",0,0,,3
80,"BU/4","IW PRODUCED 4oz BEEFBURGER 90percent X 36","",99,16.00,1,"EA",0,0,,3
81,"BU/6","IW PRODUCED 6oz BEEFBURGER 90percent X 24","",99,16.00,1,"EA",0,0,,3
82,"BU/6/IW","WAFOODS IOW DESIGNER BURGER 6OZ","",99,16.20,1,"EA",0,0,,3
86,"BU/EC","4OZ BEEFBURGER ECONOMY X36","",99,12.30,1,"EA",0,0,,3
87,"BU/GF/6","IOW PRODUCED 6oz BEEFBURGER 90percent X 24 GLUTEN FREE","",99,16.00,1,"EA",0,0,,3
89,"BU/GO/100","GOURMET BEEFBURGER BALL100GM EACH","",99,0.70,1,"EA",0,0,,2
90,"BU/GO/113","GOURMET BEEFBURGER 113GM CASE","",99,28.80,1,"EA",0,0,,3
91,"BU/GO/180","GOURMET BEEFBURGER BALL 180GM EACH","",99,1.40,1,"EA",0,0,,2
92,"BU/GO/200","GOURMET PRIME BEEFBURGER 200GM","",99,1.30,1,"EA",0,0,,3
93,"BU/GO/220","GOURMET BEEFBURGER BALL 220GM","",99,1.90,1,"EA",0,0,,3
94,"BU/GO/90","GOURMET BEEFBURGER BALL 90GM","",99,0.70,1,"EA",0,0,,3
98,"BU/MI","BURGER MINCE","BRISKET CHUCK AND FLANK MIX",99,5.90,1,"KG",0,1,,2
99,"BU/MI/FE","BURGER MINCE GOURMET","",99,5.90,1,"KG",0,0,,2
100,"BU/WAG","WAGU BEEF BURGER","40 X 6OZ BURGER",99,60.00,0,"IN",0,0,,3
101,"BUT","KILLING AND BUTCHERING CHARGE","",99,350.00,1,"EA",0,0,,12
102,"CA/FE","CALVES FEET","",99,1.95,1,"KG",0,0,,2
103,"CA/LI","CALVES LIVER","",99,10.60,1,"KG",0,0,,13
104,"CAJ","CAJUN FLAVAGLAZE","",99,0.00,0,"IN",0,0,,10
105,"CAR","CARAMELISED ONION","",99,0.00,0,"IN",0,0,,12
106,"CAUL","CAUL FAT","",99,3.50,1,"KG",0,0,,13
107,"CAY","GROUND CAYENNE","",99,0.00,0,"IN",0,0,,10
108,"CH","CHUCKS WHOLE","",99,5.50,1,"KG",0,0,,2
109,"CH/BI","BATTERED CHICKEN BITES","",99,59.00,1,"EA",0,0,,4
110,"CH/BR","CHICKEN BREAST ON BONE EACH","",99,1.65,1,"EA",0,4,,4
111,"CH/BR/BL","CHICKEN BREAST BONELESS","",99,6.00,1,"KG",0,5,,4
112,"CH/BR/BL/CH","CHICKEN BREAST BONELESS RED TRACTOR","",99,5.99,1,"KG",0,5,,4
113,"CH/BR/DI","CHICKEN BREAST DICED","",99,6.00,1,"KG",0,5,,4
114,"CH/BR/HA","CHICKEN BREAST HAND DICED","",99,5.60,1,"KG",0,4,,4
115,"CH/BU","AMERICAN STYLE CHICKEN FILLET BURGER 120G","",99,22.95,1,"EA",0,0,,4
116,"CH/CA","CHICKEN CARCASS","",99,0.99,1,"KG",0,4,,4
118,"CH/CH/DR","Chinese Glazed Chicken Drumsticks","",99,3.28,1,"KG",0,0,,4
119,"CH/CO","COOKED CHICKEN DICED","IDEAL FOR BAGUETTES AND SANDWICHES",99,5.60,1,"KG",0,0,,5
122,"CH/CO/ST","COOKED CHICKEN STRIPS ROASTED","IDEAL FOR BAGUETTES AND SANDWICHES",99,5.20,1,"KG",0,0,,5
124,"CH/CR","CHICKEN CROWN","",99,3.15,1,"EA",0,0,,4
125,"CH/DR","CHICKEN DRUMSTICKS","",99,2.78,1,"KG",0,0,,4
126,"CH/FI","CHICKEN FILLET 230-250GM EACH","",99,1.50,1,"EA",0,4,,4
127,"CH/FI/180","CHICKEN FILLET 180GM EACH","",99,1.15,1,"EA",0,4,,4
128,"CH/FI/BQ","Smoky BBQ Chicken Fillets","",99,1.95,1,"EA",0,0,,4
129,"CH/FI/CA","CHICKEN FILLET CAJUN EACH","",99,1.95,1,"EA",0,4,,4
130,"CH/FI/CH","CHICKEN FILLET CHIN","",99,1.95,1,"EA",0,0,,4
132,"CH/FI/LE","CHICKEN FILLET LEMON PEPPER EACH","",99,1.90,1,"EA",0,4,,4
134,"CH/FI/SM","CHICKEN FILLET SMOKED EACH","",99,2.10,1,"EA",0,4,,4
135,"CH/FI/SP","CHICKEN FILLET SPANISH HARBOUR EACH","",99,1.95,1,"EA",0,4,,4
136,"CH/FI/ST","CHICKEN FILLET STRIPS","",99,5.80,1,"KG",0,4,,4
137,"CH/FI/TA","CHICKEN FILLET TANDOORI EACH","",99,2.00,1,"EA",0,4,,4
138,"CH/FR","CHICKEN FRESH UNTIED","",99,2.58,1,"KG",0,4,,4
140,"CH/FR/HA","FRESH CHICKENS IN HALF","",99,2.89,1,"KG",0,5,,4
142,"CH/FR/SP","CHICKEN FRESH SPATCH COCK","",99,3.10,1,"KG",0,4,,4
143,"CH/HA/BL","CHICKEN HALVES BONELESS","",99,4.80,1,"KG",0,0,,4
144,"CH/IN/FI","CHICKEN INNER FILLET","",99,3.40,1,"KG",0,0,,4
145,"CH/LE","CHICKEN LEGS KG","",99,1.75,1,"KG",0,3,,4
147,"CH/LE/EA","CHICKEN LEGS EACH","",99,0.82,1,"EA",0,4,,4
148,"CH/LI","CHICKEN LIVERS","",99,1.85,1,"KG",0,0,,4
150,"CH/MI","CHICKEN MINCE","",99,5.90,1,"KG",0,1,,4
151,"CH/MI/FI","CHICKEN MINI FILLETS","",99,5.85,0,"KG",0,0,,4
152,"CH/NU","BATTERED CHICKEN NUGGETS 10 KG CASE","",99,59.00,1,"EA",0,0,,4
153,"CH/PO","CHICKEN PORTIONS FRESH","",99,2.86,1,"KG",0,4,,4
154,"CH/SM","CHICKEN WHOLE SMOKED","",99,4.40,1,"KG",0,0,,4
157,"CH/SU/170","CHICKEN SUPREMES 170GM+ FROZEN","",99,0.89,1,"EA",0,0,,4
158,"CH/SU/180","CHICKEN SUPREME 180GM+ EACH","",99,1.30,1,"EA",0,4,,4
159,"CH/SU/220","CHICKEN SUPREME 220GM+EACH","",99,1.55,1,"EA",0,4,,4
160,"CH/SU/CO","CHICKEN SUPREME CORNFED 220-260GM EACH","",99,1.75,1,"EA",0,4,,4
161,"CH/SU/CO/FT","CHICKEN SUPREME CORNFED 200-260GM F/T","",99,1.55,1,"EA",0,0,,4
163,"CH/SU/FT","FRESH CHICKEN SUPREME 200GM+ F/TRIMMED","",99,1.50,1,"EA",0,0,,4
164,"CH/TH/BI","CHICKEN THIGH OYSTER","",99,2.65,1,"KG",0,0,,4
165,"CH/TH/BL","CHICKEN THIGH BONELESS","",99,4.40,1,"KG",0,4,,4
166,"CH/TH/DI","CHICKEN THIGH DICED","",99,4.80,1,"KG",0,0,,4
167,"CH/TH/ST","CHICKEN THIGH STUFFED","",99,3.90,1,"KG",0,0,,4
168,"CH/WI","CHICKEN WINGS","",99,2.85,1,"KG",0,0,,4
169,"CH/WI/CA","CHICKEN WINGS CAJUN","",99,1.90,1,"KG",0,0,,4
170,"CH/WI/HO","HOT AND SPICY COATED CHICKEN WINGS","",99,44.90,1,"EA",0,0,,4
171,"CHAT","CHATEAUBRIAND","",99,26.90,1,"KG",0,0,,2
172,"CHG","RETURNED CHEQUE CHARGE","",99,10.00,1,"EA",0,0,,12
173,"CHI","CHINESE MRC FLAVAGLAZE","",99,0.00,0,"IN",0,0,,10
174,"CHILLI","FRESH CHILLIES","",99,0.00,0,"IN",0,0,,10
175,"CHIVE","CHIVE","",99,0.00,0,"IN",0,0,,10
176,"CHO","AUTHENTIC SPANISH CHORIZO","",99,12.85,1,"EA",0,0,,5
177,"CHO/CO","COOKING CHORIZZO","",99,8.99,1,"KG",0,0,,5
178,"CHO/SL/PK","CHORIZO SLICED 500G","",99,6.90,1,"EA",0,0,,5
179,"CHOC","CHOCOLATE","",99,0.00,0,"IN",0,0,,12
181,"CO/FA","COD FAT","",99,0.00,0,"KG",0,0,,2
182,"CO/SH","COOK AND SHIP BAGS","",99,0.00,0,"IN",0,0,,10
186,"COR","GROUND CORIANDER","",99,0.00,0,"IN",0,0,,10
187,"COTE","COTE DE BOEUF","",99,21.50,1,"kg",0,0,,2
188,"CREDIT","CREDIT","",99,-1.00,1,"IN",0,0,,10
190,"CU/RI","CUMBERLAND RINGS EACH","",99,1.50,1,"EA",0,0,,16
191,"CUM","GROUND CUMIN","",99,0.00,0,"IN",0,0,,10
192,"CUMB","WAF CUMBERLAND SEASONING","",99,0.00,0,"IN",0,0,,10
193,"CURE","BACON CURE","",99,37.55,1,"KG",0,0,,1
194,"D210880","SMALL SAUSAGE SKINS","",99,0.00,0,"IN",0,0,,10
195,"D280880","LARGE SAUSAGE SKINS","",99,0.00,0,"IN",0,0,,10
196,"DB/16","PORK SAUSAGE BUTCHERS STYLE 16s","",99,4.80,1,"KG",0,0,,16
197,"DB/6","PORK SAUSAGE BUTCHERS STYLE 6","",99,3.95,1,"KG",0,0,,16
198,"DB/6/GF","PORK SAUSAGE BUTCHERS STYLE 6 GLUTEN FREE","",99,4.65,1,"KG",0,0,,16
199,"DB/8","PORK SAUSAGE BUTCHERS STYLE 8 CASE","",99,15.90,1,"EA",0,0,,16
200,"DB/APPLE","PORK SAUSAGE BUTCHERS APPLE CIDER","",99,3.95,1,"KG",0,0,,16
201,"DB/BEEF","BEEF SAUSAGE BUTCHERS STYLE","",99,4.65,1,"KG",0,0,,16
203,"DB/CHIVE","PORK AND CHIVE BUTCHERS STYLE SAUSAGE","",99,3.55,1,"KG",0,0,,16
205,"DB/CI","PORK AND PEAR CIDER BUTCHERS STYLE SAUSAGE","",99,3.55,1,"KG",0,0,,16
206,"DB/CUM","CUMBERLAND PORK BUTCHERS STYLE SAUSAGE 6","",99,3.95,1,"KG",0,0,,16
208,"DB/GAR","PORK BUTCHERS STYLE 6 GARLIC and ROSEMARY","",99,4.85,1,"KG",0,0,,16
209,"DB/GI","CHILLI/GARLIC/GINGER BUTCHERS STYLE SAUSAGE","",99,4.40,1,"KG",0,0,,16
210,"DB/GU","PORK and GUINNESS BUTCHERS SAUSAGE","",99,4.40,1,"KG",0,0,,16
213,"DB/LAMB","LAMB AND MINT BUTCHERS STYLE SAUSAGE","",99,4.65,1,"KG",0,0,,16
214,"DB/LIN","PORK BUTCHERS STYLE LINCOLNSHIRE SAUSAGE 6","",99,3.55,1,"KG",0,0,,16
215,"DB/MAR","PORK BUTCHERS STYLE SAUSAGE MARMALADE","",99,3.65,1,"KG",0,0,,16
217,"DB/MUS","PORK and WHOLEGRAIN MUSTARD BUTCHERS STYLE SAUSAGE 6","",99,3.75,1,"KG",0,0,,16
218,"DB/OLD","PORK SAUSAGE BUTCHERS OLDE VILLAGE","",99,3.55,1,"KG",0,0,,16
219,"DB/PEAR","PORK CHILLI and PEAR BUTCHERS STYLE SAUSAGE 6","",99,4.40,1,"KG",0,0,,16
221,"DB/SA","PORK DB SAUSAGE MEAT","",99,3.65,1,"KG",0,0,,16
222,"DB/SA/GF","PORK BUTCHERS STYLE SAUSAGE MEAT GLUTEN FREE","",99,3.95,1,"KG",0,0,,16
223,"DB/SAGE","PORK. RED ONION and SAGE SAUSAGE BUTCHERS STYLE","",99,3.55,1,"KG",0,0,,16
225,"DB/STIL","BEEF AND STILTON BUTCHERS STYLE SAUSAGE","",99,5.60,1,"KG",0,0,,16
226,"DB/SU","PORK BUTCHERS STYLE SUICIDER SAUSAGE 6","",99,3.85,1,"KG",0,0,,16
229,"DB/VEN","VENISON, JUNIPER and CHOC  BUTCHERS STYLE SAUSAGE  6","",99,6.20,1,"KG",0,0,,16
230,"DB/VEN/SA","VENISON and SAGE SAUSAGE 6s","",99,6.45,1,"KG",0,0,,16
231,"DB/WI","WILD BOAR and ROSEMARY DB SAUSAGE 6","",99,7.40,1,"KG",0,0,,16
232,"DBA/6","PORK AND APPLE SAUSAGE BUTCHERS STYLE 6","MADE WITH NATURAL HOG SKINS",99,4.60,1,"KG",0,0,,16
233,"DBL/6","PORK/LEEK SAUSAGE BUTCHERS STYLE 6","",99,3.95,1,"KG",0,0,,16
234,"DBL/6/GF","PORK and LEEK BUTCHERS STYLE SAUSAGE 6 GLUTEN FREE","",99,4.65,1,"KG",0,0,,16
235,"DBL/SA","PORK AND LEEK SAUSAGE MEAT","",99,3.10,1,"KG",0,0,,15
236,"DEX","DEXTROSE MONOHYDRATE","",99,24.80,1,"KG",0,0,,10
237,"DI/SH","DICED SHIN OF BEEF","",99,5.10,1,"KG",0,0,,2
238,"DI/SH/IW","DICED SHIN OF BEEF IOW","",99,5.10,1,"KG",0,0,,2
239,"DI/ST","DICED CHUCK STEAK","",99,6.70,1,"KG",0,0,,2
240,"DI/ST/HA","DICED STEAK HAMPSHIRE","",99,6.70,1,"KG",0,0,,2
241,"DI/ST/IW","DICED CHUCK STEAK IOW REARED","",99,6.70,1,"KG",0,0,,2
242,"DI/ST/KE","DICED STEAK WINDMILL WOOD WAGYU","",99,6.70,1,"KG",0,0,,2
244,"DON","ACE LAMB DONER KEBAB 10KG","",99,34.60,1,"EA",0,0,,11
246,"DRI","DRICURE 1691","",99,0.00,0,"IN",0,0,,10
247,"DU","DUCKS FRESH","",99,4.65,1,"KG",0,0,,6
248,"DU/FA","DUCK FAT","",99,5.20,1,"KG",0,90,,6
249,"DU/LE","DUCK LEGS MALE","",99,5.70,1,"KG",0,0,,6
251,"DU/LE/FE","DUCK LEGS FEMALE","",99,5.50,1,"KG",0,0,,6
252,"DU/LE/FR","DUCK LEGS FRESH","",99,5.70,1,"KG",0,0,,6
253,"DU/LI","DUCK LIVER","",99,7.80,1,"KG",0,0,,6
254,"DU/MA","DUCK MAGREUX","",99,11.85,1,"KG",0,0,,6
257,"DU/MA/SM","DUCK MAGREUX SMOKED","",99,18.65,1,"KG",0,0,,6
258,"DU/PA","DUCK AND ORANGE PATE 2KG","",99,11.85,1,"EA",0,0,,14
260,"EASI","LUCAS EASICURE DRY CURE TRAD","",99,0.00,0,"IN",0,0,,10
261,"ENG","OLDE ENGLISH SEASONING","",99,0.00,0,"IN",0,0,,10
262,"FA/MI","FAGGOT MIX","",99,3.10,1,"KG",0,0,,13
263,"FAG","OWN MADE FAGGOTS","",99,0.50,1,"EA",0,0,,13
264,"FAR","FARINA ","",99,0.00,0,"IN",0,0,,10
265,"FEN","GROUND FENNEL","",99,0.00,0,"IN",0,0,,10
266,"FI/5","FILLET WHOLE 5LB PLUS","",99,27.00,1,"KG",0,0,,2
267,"FI/5/IW","FILLET 5LB PLUS IOW","",99,27.00,1,"KG",0,0,,2
268,"FI/5/WH/HA","WHOLE FILLET .HAMPSHIRE","WHOLE FILLET .HAMPSHIRE",99,27.00,1,"KG",0,0,,2
269,"FI/KO","WAGYU BEEF FILLETS","",99,128.00,1,"KG",0,0,,2
270,"FI/LA","FILLET WHOLE LARDER TRIM","",99,30.50,1,"KG",0,0,,2
271,"FI/ST","FILLET STEAKS","",99,32.50,1,"KG",0,0,,17
272,"FI/ST/EA","FILLET STEAKS EACH","",99,8.00,1,"EA",0,0,,2
273,"FI/ST/HA","FILLET STEAK HAMPSHIRE","FILLET STEAK HAMPSHIRE",99,32.50,1,"KG",0,0,,17
274,"FI/ST/IW","FILLET STEAKS IOW","",99,32.50,1,"KG",0,0,,2
275,"FI/ST/KE","FILLET STEAKS WINDMILL WOOD WAGYU ","",99,32.50,1,"KG",0,0,,2
276,"FI/TA","FILLET TAILS","",99,12.00,1,"KG",0,0,,2
277,"FO/GR","FOIE GRAS","",99,35.50,1,"KG",0,0,,14
278,"FO/GR/TI","FOIE GRAS TIN","",99,11.00,1,"EA",0,0,,14
279,"GA/BI","GAMMON BONE IN LOCAL FREERANGE","",99,2.98,1,"KG",0,21,,8
280,"GA/BL","GAMMON BONELESS LOCAL FREERANGE","",99,3.68,1,"KG",0,21,,8
282,"GA/DI","GAME DICED","",99,9.10,1,"KG",0,21,,7
284,"GA/HO","IW PRODUCED GAMMON HOCK","",99,2.35,1,"KG",0,21,,8
285,"GA/HO/SM","GAMMON HOCK SMOKED","",99,2.50,1,"KG",0,21,,1
286,"GA/HO/WH","GAMMON HORSESHOE WHOLE","",99,4.40,1,"KG",0,21,,8
287,"GA/HO/WH/SM","GAMMON HORSESHOE WHOLE SMOKED","",99,4.95,1,"KG",0,0,,8
288,"GA/PL","GAMMON BONELESS FREERANGE","",99,0.66,1,"KG",0,0,,10
290,"GA/SM/BL","GAMMON SMOKED BONELESS F/RANGE","",99,3.98,1,"KG",0,21,,8
292,"GA/ST/4","IW PRODUCED GAMMON STEAK 40Z","",99,4.80,1,"KG",0,21,,8
293,"GA/ST/6","IW PRODUCED GAMMON STEAK 6OZ","",99,4.80,1,"KG",0,21,,8
294,"GA/ST/8","IW PRODUCED GAMMON STEAK 8OZ","",99,4.80,1,"KG",0,21,,8
296,"GA/ST/EA","IW PRODUCED GAMMON STEAKS EACH","",99,1.14,1,"EA",0,21,,8
297,"GA/ST/HO","GAMMON STEAK HORSESHOE","",99,5.40,1,"KG",0,30,,8
298,"GA/ST/SM","IW PRODUCED GAMMON STEAK H/SHOE SMOKED","",99,4.80,1,"KG",0,30,,8
299,"GARLIC","FRESH GARLIC CLOVES","",99,0.00,0,"IN",0,0,,10
300,"GF/BU/MIX","GLUNTEN FREE BUGER MIX","",99,0.00,1,"KG",0,0,,10
301,"GF/RU","GLUTEN FREE RUSK","",99,0.00,0,"IN",0,0,,10
302,"GIN","FRESH GINGER","",99,0.00,0,"IN",0,0,,10
303,"GLU","WAF GLUTEN FREE SEASONING","",99,0.00,0,"IN",0,0,,10
304,"GO/BR","GOOSE BREAST","",99,15.50,1,"KG",0,0,,9
305,"GO/FA","GOOSE FAT 1KG TUB EACH","",99,7.40,1,"EA",0,0,,7
306,"GOAT","GOAT BONELESS","",99,9.20,1,"KG",0,0,,12
307,"GOO","WHOLE GOOSE","",99,11.85,1,"KG",0,0,,7
308,"GRO","GROUSE FRZ","",99,9.95,1,"EA",0,0,,7
309,"GU","GUINNESS","",99,0.00,0,"IN",0,0,,10
310,"GU/FO","GUINEA FOWL WHOLE","",99,5.45,1,"KG",0,0,,7
311,"GU/FO/SU","GUINEA FOWL SUPREMES EACH","",99,2.90,1,"EA",0,0,,7
312,"HA/BL/DE","IW PRODUCED HAM BONELESS DERINDED","",99,6.20,1,"KG",0,14,,5
313,"HA/BL/DE/CHA","HAM BONELESS DERINDED RT ASSURED","",99,5.10,1,"KG",0,0,,8
314,"HA/BL/DE/HA","HAM BONELESS DERINDED HALF","",99,6.40,1,"KG",0,0,,8
315,"HA/BL/SM","IW PRODUCED HAM BONELESS SMOKED","",99,6.40,1,"KG",0,14,,5
320,"HA/MI","HAGGIS MIX","",99,0.00,0,"IN",0,0,,12
321,"HA/SL","GAMMON HAM SLICED","",99,7.99,1,"KG",0,10,,5
324,"HAG/MI","HAGGIS MIX","",99,0.00,0,"IN",0,0,,12
325,"HAG1","HAGGIS 1LB","",99,3.25,1,"EA",0,0,,13
326,"HAG10","HAGGIS 10LB","",99,29.95,1,"EA",0,0,,13
327,"HAG2","HAGGIS 2LB EACH","",99,6.20,1,"EA",0,0,,13
328,"HAG4","HAGGIS EACH 4LB","",99,13.70,1,"EA",0,0,,13
329,"HAG5","HAGGIS 5LB EACH","",99,17.68,1,"EA",0,0,,13
330,"HAG8","HAGGIS 10LB CHIEFTAIN","",99,29.95,1,"EA",0,0,,13
331,"HAM 2","HAM CURE 2X","",99,0.00,0,"IN",0,0,,10
332,"HANG","HANGER STEAK","",99,8.90,1,"KG",0,0,,17
334,"HEN","TURKEY FRESH HEN BIRD","",99,4.95,1,"KG",0,0,,18
335,"HERBS/SPICES","Herbs and Spices","Various Herbs and Spices",99,0.00,0,"KG",0,0,,10
336,"HOG","NATURAL HOG CASINGS","",99,4.00,1,"EA",0,0,,10
337,"HOR","HORSERADISH","",99,0.00,0,"IN",0,0,,10
338,"HT12","HT BAGS 12X18","",99,0.00,0,"IN",0,0,,10
339,"HT18","HT BAGS 18X24","",99,0.00,0,"IN",0,0,,10
340,"HT24","HT BAGS 24X36","",99,0.00,0,"IN",0,0,,10
341,"INV ADJ","INVOICE ADJUSTMENT","",99,0.00,0,"IN",0,0,,12
342,"IRON","BEEF FLAT IRON STEAK","",99,7.95,0,"KG",0,0,,2
343,"JA/LA","JACOBS LADDER","",99,5.10,1,"KG",0,0,,2
344,"JUN","JUNIPER","",99,0.00,0,"IN",0,0,,10
346,"LA/BE/IW","LAMB BEST END","",99,7.40,1,"KG",0,0,,11
347,"LA/BO","LAMB BONES","",99,0.40,1,"KG",0,0,,11
348,"LA/BR/BI/IW","LAMB BREAST BONE IN","",99,5.50,1,"KG",0,0,,11
349,"LA/BR/BL/IW","LAMB BREAST BONELESS","",99,5.80,1,"KG",0,0,,11
350,"LA/BR/ST/IW","LAMB BREAST STUFFED","",99,4.60,1,"KG",0,0,,11
351,"LA/CA","LAMB CANNONS","",99,36.50,1,"KG",0,0,,11
353,"LA/CH/DO/IW","LAMB CHOPS DOUBLE","",99,9.95,1,"KG",0,0,,11
354,"LA/CH/EN","LAMB CHINES XXX","",99,5.05,1,"KG",0,0,,10
355,"LA/CH/IW","LAMB CHOPS MIDDLE LOIN ENGLISH","",99,9.95,1,"KG",0,0,,11
356,"LA/FI/IW","LAMB NECK FILLET","",99,13.95,1,"KG",0,0,,11
357,"LA/HE","LAMB HEARTS","",99,1.88,1,"KG",0,0,,13
358,"LA/KI","LAMBS KIDNEY NZ","",99,4.85,1,"KG",0,0,,13
359,"LA/KI/EN","LAMBS KIDNEY ENGLISH","",99,4.25,1,"KG",0,0,,13
361,"LA/LE/BI","LAMB LEG BONE IN","",99,7.90,1,"KG",0,0,,11
362,"LA/LE/BI/IW","LAMB LEG BONE IN IOW","",99,7.90,1,"KG",0,0,,11
